День,Название кампании,№ Кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽"
Итого,,,,1800.00,3243,479,5,1.04,360.00
16.07.2026,Iphone №1 - 15-07-2026,712811375,Активные,1800.00,3243,479,5,1.04,360.00
